Model,Solver,Test_id,State,Time,Obj
imada-int,chuffed,test2,feas,52.55,1815
imada-int,chuffed,test2,feas,53.04,1814
imada-int,chuffed,test2,feas,53.53,1813
imada-int,chuffed,test2,feas,54.02,1812
imada-int,chuffed,test2,feas,54.51,1811
imada-int,chuffed,test2,feas,55.0,1810
imada-int,chuffed,test2,feas,57.92,1809
imada-int,chuffed,test2,feas,60.82,1808
imada-int,chuffed,test2,feas,63.71,1807
imada-int,chuffed,test2,feas,66.6,1806
imada-int,chuffed,test2,feas,69.49,1805
imada-int,chuffed,test2,feas,72.38,1804
imada-int,chuffed,test2,feas,82.05,1803
imada-int,chuffed,test2,feas,91.5,1802
imada-int,chuffed,test2,feas,107.66,1801
imada-int,chuffed,test2,feas,129.83,1800
imada-int,chuffed,test2,feas,188.71,1799
imada-int,chuffed,test2,feas,228.37,1798
imada-int,chuffed,test2,feas,263.75,1797
imada-int,chuffed,test2,feas,335.07,1796
imada-int,chuffed,test2,feas,404.62,1795
imada-int,chuffed,test2,feas,566.72,1794
imada-int,chuffed,test2,feas,642.17,1793
imada-int,chuffed,test3,feas,42.79,1830
imada-int,chuffed,test3,feas,43.28,1829
imada-int,chuffed,test3,feas,43.78,1828
imada-int,chuffed,test3,feas,44.27,1827
imada-int,chuffed,test3,feas,44.77,1826
imada-int,chuffed,test3,feas,45.27,1825
imada-int,chuffed,test3,feas,45.77,1824
imada-int,chuffed,test3,feas,46.26,1823
imada-int,chuffed,test3,feas,46.76,1822
imada-int,chuffed,test3,feas,47.26,1821
imada-int,chuffed,test3,feas,47.76,1820
imada-int,chuffed,test3,feas,48.25,1819
imada-int,chuffed,test3,feas,48.75,1818
imada-int,chuffed,test3,feas,50.8,1817
imada-int,chuffed,test3,feas,51.3,1816
imada-int,chuffed,test3,feas,52.39,1815
imada-int,chuffed,test3,feas,52.88,1814
imada-int,chuffed,test3,feas,53.39,1813
imada-int,chuffed,test3,feas,53.88,1812
imada-int,chuffed,test3,feas,54.38,1811
imada-int,chuffed,test3,feas,54.87,1810
imada-int,chuffed,test3,feas,57.81,1809
imada-int,chuffed,test3,feas,60.74,1808
imada-int,chuffed,test3,feas,63.67,1807
imada-int,chuffed,test3,feas,66.59,1806
imada-int,chuffed,test3,feas,69.52,1805
imada-int,chuffed,test3,feas,72.44,1804
imada-int,chuffed,test3,feas,82.22,1803
imada-int,chuffed,test3,feas,91.78,1802
imada-int,chuffed,test3,feas,108.14,1801
imada-int,chuffed,test3,feas,130.6,1800
imada-int,chuffed,test3,feas,190.3,1799
imada-int,chuffed,test3,feas,230.43,1798
imada-int,chuffed,test3,feas,266.25,1797
imada-int,chuffed,test3,feas,338.42,1796
imada-int,chuffed,test3,feas,408.81,1795
imada-int,chuffed,test3,feas,572.98,1794
imada-int,chuffed,test3,feas,649.39,1793
